"area","station_no","station_type","station_name","address","elevation","observation_begin","note1","note2","katakana","prec_no","block_no","pref_code","lon","lat"
"宗谷",11001,"四","宗谷岬","稚内市宗谷岬",26,"昭53.10.30",,,"ソウヤミサキ","11","1284","01",141.935,45.52
"宗谷",11016,"官","稚内","稚内市開運　稚内地方気象台",3,"#昭50.4.1","11903",,"ワッカナイ","11","47401","01",141.678333333333,45.415
"宗谷",11046,"四","礼文","礼文郡礼文町大字香深村トンナイ",65,"平15.10.17",,,"レブン","11","1546","01",141.045,45.305
"宗谷",11061,"官","声問","稚内市大字声問村字声問　稚内航空気象観測所",8,"平15.1.1","11904","日照・湿度・気圧を除く","コエトイ","11","1528","01",141.801666666667,45.4033333333333
"宗谷",11076,"四","浜鬼志別","宗谷郡猿払村浜鬼志別",13,"昭53.10.30","11900",,"ハマオニシベツ","11","1285","01",142.17,45.335
"宗谷",11091,"官","本泊","利尻郡利尻富士町鴛泊字本泊　利尻航空気象観測所",30,"平15.1.1",,"日照・湿度・気圧を除く","モトドマリ","11","1512","01",141.186666666667,45.2416666666667
"宗谷",11121,"四","沼川","稚内市声問村沼川",23,"昭52.10.20","11905","湿度を除く","ヌマカワ","11","1203","01",141.851666666667,45.2483333333333
"宗谷",11151,"四","沓形","利尻郡利尻町沓形泉町",14,"#昭52.10.24",,,"クツガタ","11","0002","01",141.138333333333,45.1783333333333
"宗谷",11176,"四","豊富","天塩郡豊富町豊富東2条",14,"(昭50.5.29)昭52.10.25","11910",,"トヨトミ","11","1054","01",141.78,45.1016666666667
"宗谷",11206,"四","浜頓別","枝幸郡浜頓別町クッチャロ湖畔",18,"#昭52.10.19",,,"ハマトンベツ","11","0003","01",142.35,45.125
"宗谷",11276,"四","中頓別","枝幸郡中頓別町上駒",25,"(昭50.5.28)昭52.10.19","11915","湿度を除く","ナカトンベツ","11","1051","01",142.28,44.965
"宗谷",11291,"官","北見枝幸","枝幸郡枝幸町本町　北見枝幸特別地域気象観測所",7,"#昭51.1.1","11917",,"キタミエサシ","11","47402","01",142.585,44.94
"宗谷",11316,"四","歌登","枝幸郡枝幸町歌登東町",14,"#昭52.10.25","11920","湿度を除く","ウタノボリ","11","0005","01",142.48,44.8416666666667
"宗谷",13011,"雨","幌延","天塩郡幌延町上幌延",5,"平17.11.15",,,"ホロノベ","11","1573","01",141.851666666667,45.0066666666667
"上川",12011,"四","中川","中川郡中川町中川",22,"昭52.10.19",,,"ナカガワ","12","1201","01",142.076666666667,44.8283333333333
